unix_seconds,monotonic_seconds,sectors_read,sectors_written,io_milliseconds,sector_bytes
1790417525.953325,25874.226599861,73209652,1009408776,1257155,512
1790417526.9538379,25875.227112816,73209652,1010326328,1258154,512
1790417527.9543605,25876.227635444,73209652,1011245104,1259151,512
1790417528.9547093,25877.227984469,73209652,1012162632,1260142,512
1790417529.955076,25878.228351497,73209652,1013079392,1261137,512
1790417530.9554186,25879.228693578,73209652,1013993656,1262130,512
1790417531.9558735,25880.229148541,73209652,1014910912,1263129,512
1790417532.9562888,25881.229563857,73209652,1015828672,1264125,512
1790417533.956879,25882.230153671,73209652,1016746688,1265120,512
1790417534.9573977,25883.230672644,73209652,1017665728,1266116,512
1790417535.9578495,25884.231124496,73209652,1018580672,1267106,512
1790417536.9582543,25885.23152916,73209652,1019499712,1268105,512
1790417537.9586046,25886.231879642,73209652,1020414656,1269098,512
1790417538.9589221,25887.232197254,73209652,1021334040,1270094,512
1790417540.0482962,25888.321571082,73209652,1022334472,1271176,512
1790417541.0485399,25889.321814346,73209652,1023250952,1272170,512
1790417542.0489037,25890.322178593,73209652,1024167432,1273164,512
1790417543.0491838,25891.322459304,73209652,1025086472,1274162,512
1790417544.0496135,25892.322888395,73209652,1026003976,1275160,512
1790417545.0498762,25893.323150707,73209652,1026920816,1276155,512
1790417546.0501022,25894.323376848,73209652,1027836784,1277148,512
1790417547.0504735,25895.32374879,73209652,1028755344,1278146,512
1790417548.0508146,25896.324090025,73209652,1029670840,1279139,512
1790417549.0513017,25897.324576515,73209652,1030589920,1280137,512
1790417550.0518146,25898.325090202,73209652,1031507424,1281132,512
1790417551.052292,25899.325567107,73209652,1032424064,1282126,512
1790417552.0526175,25900.325892396,73209652,1033341056,1283119,512
1790417553.0531135,25901.326388293,73209652,1034259704,1284113,512
1790417554.053414,25902.326689011,73209652,1035175696,1285107,512
1790417555.0537133,25903.326988368,73209652,1036092352,1286101,512
1790417556.0540357,25904.327310481,73209652,1037009856,1287095,512
1790417557.054316,25905.327590848,73209652,1037926848,1288088,512
1790417558.0546227,25906.327897933,73209652,1038846912,1289084,512
1790417559.0549378,25907.328212873,73209652,1039762088,1290081,512
1790417560.0552492,25908.32852418,73209652,1040675960,1291069,512
1790417561.0555544,25909.328829214,73209652,1041593032,1292059,512
1790417562.1022103,25910.375485254,73209652,1042551424,1293096,512
1790417563.1025314,25911.375806343,73209652,1043468856,1294084,512
1790417564.1028824,25912.376157257,73209652,1044384608,1295076,512
1790417565.1031911,25913.376466035,73209652,1045302384,1296066,512
1790417566.1035113,25914.376786257,73209652,1046221352,1297058,512
1790417567.1038773,25915.377152499,73209652,1047137608,1298052,512
1790417568.1041968,25916.377471795,73209652,1048053800,1299045,512
1790417569.1045182,25917.377793551,73209652,1048970792,1300040,512
1790417570.10486,25918.378135376,73209652,1049886792,1301038,512
1790417571.1051688,25919.378443962,73209652,1050800688,1302029,512
1790417572.1054754,25920.378750313,73209652,1051718776,1303026,512
1790417573.1058347,25921.379109946,73209652,1052634232,1304018,512
1790417574.10615,25922.379424749,73209652,1053551752,1305013,512
1790417575.106471,25923.379746036,73209652,1054469256,1306007,512
1790417576.1068165,25924.380091623,73209652,1055387272,1307002,512
1790417577.1071336,25925.380408627,73209652,1056304784,1307996,512
1790417578.1074448,25926.380719669,73209652,1057222800,1308991,512
1790417579.1077955,25927.381070538,73209652,1058139096,1309983,512
1790417580.1081161,25928.381391174,73209652,1059056600,1310979,512
1790417581.1084313,25929.381706309,73209652,1059972616,1311976,512
1790417582.1087844,25930.382059537,73209652,1060889096,1312964,512
1790417583.109107,25931.38238202,73209652,1061808136,1313961,512
1790417584.1094208,25932.382695893,73209652,1062724600,1314948,512
1790417585.1097581,25933.383033285,73209652,1063643808,1315938,512
