step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
391,13.35,1.2191,915531,3.032,3.188,3.068,3.229
392,13.34,1.0508,913609,3.008,3.154,3.047,3.199
393,13.33,1.1083,915220,3.013,3.198,3.051,3.24
394,13.35,0.9184,913792,3.018,3.147,3.056,3.185
395,13.38,0.8602,914396,3.026,3.191,3.064,3.233
396,13.23,1.4944,912924,2.98,3.114,3.017,3.152
397,13.29,1.2783,915095,3.002,3.088,3.039,3.127
398,13.25,1.4531,912184,3.028,3.142,3.067,3.183
399,13.35,1.3195,913753,3.022,3.172,3.059,3.214
400,13.25,1.1334,913640,3.001,3.119,3.039,3.16
401,13.45,1.2092,915052,3.055,3.124,3.094,3.165
402,13.3,1.2626,915049,2.991,3.063,3.028,3.101
403,13.27,1.6168,913283,2.999,3.114,3.036,3.158
404,13.29,1.7828,912282,2.995,3.099,3.032,3.145
405,13.25,1.7085,908909,3.008,3.183,3.046,3.224
406,13.34,1.2056,913111,2.999,3.116,3.036,3.157
407,13.14,1.3266,914775,2.958,3.002,2.996,3.038
408,13.27,1.1004,911202,3.021,3.238,3.06,3.282
409,13.23,1.1824,916066,2.988,3.145,3.026,3.19
410,13.36,1.4228,910673,3.023,3.175,3.062,3.222
411,13.22,1.2941,910009,2.987,3.062,3.025,3.101
412,13.22,1.7723,912126,2.983,3.073,3.021,3.116
413,13.3,1.4611,910731,3.007,3.156,3.044,3.193
414,13.41,1.074,911559,3.029,3.212,3.067,3.252
415,13.31,1.3471,908892,3.058,3.217,3.097,3.261
416,13.31,1.6268,910696,3.027,3.2,3.066,3.244
417,13.36,1.4779,910446,3.012,3.129,3.049,3.168
418,13.19,1.5261,914547,3.014,3.162,3.051,3.204
419,13.27,1.2284,913925,2.991,3.097,3.03,3.134
420,13.22,1.2129,915592,2.979,3.097,3.015,3.134
421,13.24,1.0477,914483,3.01,3.144,3.048,3.187
422,13.32,1.2492,909544,3.054,3.254,3.093,3.299
423,13.21,1.7592,914359,2.996,3.102,3.034,3.148
424,13.26,0.888,915293,3.015,3.204,3.052,3.244
425,13.25,1.4036,912759,2.991,3.05,3.028,3.088
426,13.38,1.2634,911541,3.0,3.2,3.037,3.243
427,13.31,1.0249,911427,3.003,3.076,3.041,3.117
428,13.29,0.9922,909847,3.018,3.12,3.054,3.158
429,13.28,1.0807,907487,2.973,3.075,3.011,3.113
430,13.31,1.0382,909384,3.016,3.165,3.053,3.209
431,13.36,1.1268,911663,3.077,3.215,3.116,3.255
432,13.37,1.1111,910785,3.025,3.238,3.064,3.276
433,13.23,1.4131,910647,2.984,3.061,3.021,3.098
434,13.27,1.2396,912976,2.985,3.091,3.024,3.128
435,13.27,1.1314,914124,3.034,3.126,3.071,3.164
436,13.32,1.617,914270,3.017,3.14,3.055,3.18
437,13.23,1.0872,911509,3.0,3.106,3.036,3.146
438,13.2,1.5655,913911,2.982,3.089,3.02,3.13
439,13.21,1.1246,913247,2.969,3.029,3.007,3.069
440,13.25,0.989,918467,2.988,3.148,3.025,3.192
441,13.36,0.8698,914615,3.041,3.257,3.078,3.3
