arm,split,condition,seed,steps,sum_reward,max_reward,success
baseline,test,warm,100066,300,0.15671513825233502,0.04409497390125263,False
robust,test,warm,100066,300,64.7820305341859,0.730436572649958,False
baseline,test,warm,100067,300,44.02594563375938,0.20253546758854754,False
robust,test,warm,100067,300,51.280290712558845,0.28458287043628494,False
baseline,test,warm,100068,300,0.0,0.0,False
robust,test,warm,100068,300,154.82681159192222,0.9632331208313366,False
baseline,test,warm,100069,300,197.513368197994,0.7980621894799474,False
robust,test,warm,100069,300,245.19465406323548,0.9793600617135938,False
baseline,test,warm,100070,300,168.93309988849177,0.9830823431451916,False
robust,test,warm,100070,300,229.5295594103981,0.9997011448535951,False
baseline,test,warm,100071,300,13.962730697263712,0.2951851707365823,False
robust,test,warm,100071,300,108.7428861340575,0.9831158914174977,False
baseline,test,warm,100072,300,1.1873971739727303,0.08308820380126218,False
robust,test,warm,100072,300,145.98527371324798,0.7051936618184009,False
baseline,test,warm,100073,300,0.0,0.0,False
robust,test,warm,100073,300,63.88812640235675,0.35534859348217734,False
baseline,test,warm,100074,300,0.0,0.0,False
robust,test,warm,100074,207,74.37451007162726,1.0,True
baseline,test,warm,100075,300,23.802790926168214,0.30300640201768697,False
robust,test,warm,100075,300,148.54747898928585,0.7772834601041032,False
baseline,test,warm,100076,300,2.1509137984269513,0.008918584043626698,False
robust,test,warm,100076,300,143.23844157737224,0.9692900741883286,False
baseline,test,warm,100077,300,124.69315236042954,0.8909381174310687,False
robust,test,warm,100077,300,201.68135045723636,0.9910154790303648,False
baseline,test,warm,100078,300,0.8353570126045978,0.055327336127048495,False
robust,test,warm,100078,300,130.15852718685696,0.9965444645360222,False
baseline,test,warm,100079,300,3.6047759576262224,0.15374714973738526,False
robust,test,warm,100079,300,152.16794285565328,0.8411322650757264,False
baseline,test,warm,100080,300,69.03554031180543,0.44138881536017643,False
robust,test,warm,100080,300,141.9610846938259,0.7579124403208081,False
baseline,test,warm,100081,300,135.5896031064239,0.5655338429826043,False
robust,test,warm,100081,300,164.85874717602164,0.9397678402005268,False
baseline,test,warm,100082,300,62.278047646364456,0.2707582167198947,False
robust,test,warm,100082,300,0.0,0.0,False
baseline,test,warm,100083,300,0.0,0.0,False
robust,test,warm,100083,300,0.0,0.0,False
baseline,test,warm,100084,300,0.0,0.0,False
robust,test,warm,100084,300,182.68721549349556,0.9643260053117484,False
baseline,test,warm,100085,300,0.0,0.0,False
robust,test,warm,100085,300,124.0032689667029,0.9389787654546452,False
baseline,test,warm,100086,300,197.32819042268682,0.6577606347422893,False
robust,test,warm,100086,300,197.32819042268682,0.6577606347422894,False
baseline,test,warm,100087,300,55.14452449961228,0.28657415762794824,False
robust,test,warm,100087,300,224.78102391010765,0.957785448946495,False
baseline,test,warm,100088,300,114.65300982431552,0.4917998022043613,False
robust,test,warm,100088,300,47.674825035867734,0.21155850108474583,False
baseline,test,warm,100089,300,76.432932396682,0.5106760480270018,False
robust,test,warm,100089,300,0.0,0.0,False
baseline,test,warm,100090,300,63.376421136518935,0.47220600441210114,False
robust,test,warm,100090,300,0.0,0.0,False
baseline,test,warm,100091,300,7.376849349464897,0.21509742637674967,False
robust,test,warm,100091,300,170.02935986262855,0.9044213969791997,False
baseline,test,warm,100092,300,143.43304582044112,0.5158128022490316,False
robust,test,warm,100092,240,139.69728582608943,1.0,True
baseline,test,warm,100093,300,0.0,0.0,False
robust,test,warm,100093,300,212.1100874252048,0.9068254424591071,False
baseline,test,warm,100094,300,4.6831949948518705,0.06104564588234297,False
robust,test,warm,100094,300,0.0,0.0,False
baseline,test,warm,100095,300,73.5997968972338,0.41539280450428495,False
robust,test,warm,100095,300,191.73038656429202,0.9960009323987764,False
baseline,validation,clean,100000,300,169.33811566516883,0.8872679284007473,False
robust,validation,clean,100000,300,183.7262261242617,0.9051661504887694,False
baseline,validation,clean,100001,300,152.90847103818038,0.9504933063979194,False
robust,validation,clean,100001,300,0.3501585355285318,0.06912659344300823,False
baseline,validation,clean,100002,139,96.96542180663215,1.0,True
robust,validation,clean,100002,300,193.87673201468135,0.7166779008993251,False
baseline,validation,clean,100003,89,30.827752799957405,1.0,True
robust,validation,clean,100003,300,209.25439149023288,0.8886343193661994,False
baseline,validation,clean,100004,300,16.456528110673137,0.3623763894243921,False
robust,validation,clean,100004,300,142.05116473858462,0.7368474279699183,False
baseline,validation,clean,100005,300,140.68949622682732,0.9802313695848399,False
robust,validation,clean,100005,279,124.59265237546569,1.0,True
baseline,validation,clean,100006,152,45.721357036685035,1.0,True
robust,validation,clean,100006,300,0.3473487799094031,0.1547293078105982,False
baseline,validation,clean,100007,253,82.89573303306335,1.0,True
robust,validation,clean,100007,184,84.58154584546811,1.0,True
baseline,validation,clean,100008,300,72.27185057037813,0.27540421229344514,False
robust,validation,clean,100008,300,52.089438958354506,0.17876565786925452,False
baseline,validation,clean,100009,300,92.17742425414778,0.9124138307950018,False
robust,validation,clean,100009,300,4.290154440389385,0.42154850595101784,False
baseline,validation,clean,100010,300,174.22505289442293,0.9926203348453188,False
robust,validation,clean,100010,300,161.28038095262,0.9840396485114964,False
baseline,validation,clean,100011,300,118.64592162609515,0.39548640542031716,False
robust,validation,clean,100011,300,100.19560554527665,0.5459686657939967,False
baseline,validation,clean,100012,300,59.30275640618206,0.2239512356439085,False
robust,validation,clean,100012,300,192.54262158063864,0.9622411874517384,False
baseline,validation,clean,100013,300,106.38015530167343,0.4152151845192668,False
robust,validation,clean,100013,300,78.84199260709661,0.4752831445651049,False
baseline,validation,clean,100014,300,66.4104096947809,0.2432230458624423,False
robust,validation,clean,100014,149,51.59273890238437,1.0,True
baseline,validation,clean,100015,300,93.9658017934859,0.8282611461569306,False
robust,validation,clean,100015,300,0.4489217497231091,0.06870003313272974,False
baseline,validation,clean,100016,300,151.57825753622757,0.6696363585268974,False
robust,validation,clean,100016,300,190.46603731849498,0.9813987677438414,False
baseline,validation,clean,100017,300,121.69259181598233,0.6072780389679897,False
robust,validation,clean,100017,300,125.7440512910907,0.5055035326489405,False
baseline,validation,clean,100018,300,10.473393498308756,0.18940855616276847,False
robust,validation,clean,100018,120,50.33602989334771,1.0,True
baseline,validation,clean,100019,300,200.73853396139367,0.9638342677332391,False
robust,validation,clean,100019,300,45.76935454070441,0.19215081092933234,False
baseline,validation,clean,100020,300,19.11376959496729,0.5218401578425237,False
robust,validation,clean,100020,300,9.523406288661045,0.4860715267698556,False
baseline,validation,clean,100021,300,164.2110222678042,0.5563719006126128,False
robust,validation,clean,100021,300,123.40663627861466,0.5250833839010781,False
baseline,validation,clean,100022,300,176.3400156613028,0.9458533929344435,False
robust,validation,clean,100022,300,117.28168816500633,0.6713773757874324,False
baseline,validation,clean,100023,300,121.48791159723947,0.4095588462084569,False
robust,validation,clean,100023,300,231.49828958852942,0.9911661903213159,False
baseline,validation,clean,100024,300,120.01502664798295,0.5680889110895432,False
robust,validation,clean,100024,300,134.87437377808607,0.5878107758912761,False
baseline,validation,clean,100025,300,156.6581476648958,0.9790021344625578,False
robust,validation,clean,100025,300,96.49064217172368,0.9947019133702439,False
baseline,validation,clean,100026,300,209.1568410874699,0.9925887054889064,False
robust,validation,clean,100026,112,42.33554294759394,1.0,True
baseline,validation,clean,100027,300,33.26267888486157,0.1378462240107152,False
robust,validation,clean,100027,300,42.283572512350354,0.3950803303184969,False
baseline,validation,clean,100028,300,175.6881904793155,0.9673497963221718,False
robust,validation,clean,100028,300,60.51361486231934,0.24061890193889346,False
